t,metric,outcome
90,1.2776418675851418,recoverable
91,1.2958018008719665,recoverable
92,1.287392399591291,recoverable
93,1.313825556858332,recoverable
94,1.3022655396641736,recoverable
95,1.314076526374695,recoverable
96,1.2875621448401495,recoverable
97,1.3123085927329652,recoverable
98,1.2805331515986447,recoverable
99,1.2726406545694369,recoverable
100,1.2785057180156876,recoverable
101,1.2609049766069371,recoverable
102,1.2668840954147877,recoverable
103,1.2868799476206552,recoverable
104,1.2283779332890261,recoverable
105,1.218108611009933,recoverable
106,1.2162535559812115,recoverable
107,1.2054960604156195,recoverable
108,1.1797483075458448,recoverable
109,1.1631119345467573,recoverable
110,1.1602087900005098,recoverable
111,1.1407585755381506,recoverable
112,1.1007114321908047,recoverable
113,1.0984014402204825,recoverable
114,1.0837482927039084,recoverable
115,1.0514215796364876,recoverable
116,1.0556685921118103,recoverable
117,1.0240560309457827,recoverable
118,1.0373789591079858,recoverable
119,1.012360705274702,recoverable
120,0.9983442013882841,recoverable
121,0.9765854476188681,recoverable
122,0.973059568113188,recoverable
123,0.9352150346290616,recoverable
124,0.9395033869901326,recoverable
125,0.954140788428144,recoverable
126,0.9098879315378663,recoverable
127,0.9484781157242694,recoverable
128,0.9043311692295556,recoverable
129,0.9373238082836164,recoverable
130,0.9093627137648211,recoverable
131,0.930333003926864,recoverable
132,0.9176485188240009,recoverable
133,0.8900001128387253,recoverable
134,0.9293882968857266,recoverable
135,0.930003662272391,recoverable
136,0.905147847369226,recoverable
137,0.8997189854468606,recoverable
138,0.8989711098397069,recoverable
139,0.8840526434857217,recoverable
140,0.9121695003327365,recoverable
141,0.8841994824162831,recoverable
142,0.8878218932022927,recoverable
143,0.8724978808534762,recoverable
144,0.8703535536669917,recoverable
145,0.8554581769932431,recoverable
146,0.8878971036938461,recoverable
147,0.8607027203179244,recoverable
148,0.8710623524500507,recoverable
149,0.8499613238318457,recoverable
150,0.832213922428081,recoverable
151,0.830339933092094,recoverable
152,0.8192573172706094,recoverable
153,0.8200855813736665,recoverable
154,0.8066061235823868,recoverable
155,0.8000498130233376,recoverable
156,0.7763097325265431,recoverable
157,0.777531934146299,recoverable
158,0.80737561709248,recoverable
159,0.7657827901440512,recoverable
160,0.7537490005087355,recoverable
161,0.7688103636619221,recoverable
162,0.7795798010834657,recoverable
163,0.7319498307695709,recoverable
164,0.7473190305736824,recoverable
165,0.7406661539887859,recoverable
166,0.7240492739141433,recoverable
167,0.7624154930715741,recoverable
168,0.7525560872742774,recoverable
169,0.7560526116595117,recoverable
170,0.7462834401763025,recoverable
171,0.7674373967406428,recoverable
172,0.7559713536164435,recoverable
173,0.7656893819721586,recoverable
174,0.7552307868337396,recoverable
175,0.7578022884426769,recoverable
176,0.8003476683610664,recoverable
177,0.7769734669814031,recoverable
178,0.793127990311125,recoverable
179,0.7922409136172226,recoverable
180,0.7898663038953797,recoverable
181,0.792264301193798,recoverable
182,0.8123303602525433,recoverable
183,0.8008805980743143,recoverable
184,0.805148951553178,recoverable
185,0.8092073986768442,recoverable
186,0.8273870027447372,recoverable
187,0.8202065267985885,recoverable
188,0.8153862277514954,recoverable
189,0.8002380420748578,recoverable
190,0.7864219575936997,recoverable
191,0.81930116847893,recoverable
192,0.8169511541991634,recoverable
193,0.7972825885440105,recoverable
194,0.8040651434494859,recoverable
195,0.8038775215261162,recoverable
196,0.8005949812120523,recoverable
197,0.7977537302848459,recoverable
198,0.7728243522307602,recoverable
199,0.798115808280891,recoverable
200,0.7525188131420575,recoverable
201,0.7801489778754929,recoverable
202,0.7708978459020337,recoverable
203,0.7731952744408729,recoverable
204,0.7852838517624621,recoverable
205,0.7768397276792722,recoverable
206,0.7353877462084446,recoverable
207,0.7257866188134414,recoverable
208,0.7625097747170829,recoverable
209,0.7347769788374607,recoverable
210,0.7501729708309114,recoverable
211,0.7639157396977891,recoverable
212,0.7282079580907171,recoverable
213,0.7233131384064324,recoverable
214,0.7614603513582002,recoverable
215,0.7613016347351397,recoverable
216,0.7604082958467299,recoverable
217,0.7684568921264954,recoverable
218,0.7590016148918298,recoverable
219,0.7534022459380233,recoverable
