t,metric,outcome,trace_id
78,1.145825533989617,recoverable,recoverable_001
79,1.1827255935031724,recoverable,recoverable_001
80,1.1642097762090142,recoverable,recoverable_001
81,1.1772005349239454,recoverable,recoverable_001
82,1.1984304577945823,recoverable,recoverable_001
83,1.2028574780235046,recoverable,recoverable_001
84,1.2132508824795807,recoverable,recoverable_001
85,1.2109191412055151,recoverable,recoverable_001
86,1.2386167199868137,recoverable,recoverable_001
87,1.2428928302553979,recoverable,recoverable_001
88,1.2772515296346951,recoverable,recoverable_001
89,1.2790862684429536,recoverable,recoverable_001
90,1.2776418675851418,recoverable,recoverable_001
91,1.2958018008719665,recoverable,recoverable_001
92,1.287392399591291,recoverable,recoverable_001
93,1.313825556858332,recoverable,recoverable_001
94,1.3022655396641736,recoverable,recoverable_001
95,1.314076526374695,recoverable,recoverable_001
96,1.2875621448401495,recoverable,recoverable_001
97,1.3123085927329652,recoverable,recoverable_001
98,1.2805331515986447,recoverable,recoverable_001
99,1.2726406545694369,recoverable,recoverable_001
100,1.2785057180156876,recoverable,recoverable_001
101,1.2609049766069371,recoverable,recoverable_001
102,1.2668840954147877,recoverable,recoverable_001
103,1.2868799476206552,recoverable,recoverable_001
104,1.2283779332890261,recoverable,recoverable_001
105,1.218108611009933,recoverable,recoverable_001
106,1.2162535559812115,recoverable,recoverable_001
107,1.2054960604156195,recoverable,recoverable_001
108,1.1797483075458448,recoverable,recoverable_001
109,1.1631119345467573,recoverable,recoverable_001
110,1.1602087900005098,recoverable,recoverable_001
111,1.1407585755381506,recoverable,recoverable_001
112,1.1007114321908047,recoverable,recoverable_001
113,1.0984014402204825,recoverable,recoverable_001
114,1.0837482927039084,recoverable,recoverable_001
115,1.0514215796364876,recoverable,recoverable_001
116,1.0556685921118103,recoverable,recoverable_001
117,1.0240560309457827,recoverable,recoverable_001
118,1.0373789591079858,recoverable,recoverable_001
119,1.012360705274702,recoverable,recoverable_001
120,0.9983442013882841,recoverable,recoverable_001
121,0.9765854476188681,recoverable,recoverable_001
122,0.973059568113188,recoverable,recoverable_001
123,0.9352150346290616,recoverable,recoverable_001
124,0.9395033869901326,recoverable,recoverable_001
125,0.954140788428144,recoverable,recoverable_001
126,0.9098879315378663,recoverable,recoverable_001
127,0.9484781157242694,recoverable,recoverable_001
128,0.9043311692295556,recoverable,recoverable_001
129,0.9373238082836164,recoverable,recoverable_001
130,0.9093627137648211,recoverable,recoverable_001
131,0.930333003926864,recoverable,recoverable_001
132,0.9176485188240009,recoverable,recoverable_001
133,0.8900001128387253,recoverable,recoverable_001
134,0.9293882968857266,recoverable,recoverable_001
135,0.930003662272391,recoverable,recoverable_001
136,0.905147847369226,recoverable,recoverable_001
137,0.8997189854468606,recoverable,recoverable_001
138,0.8989711098397069,recoverable,recoverable_001
139,0.8840526434857217,recoverable,recoverable_001
140,0.9121695003327365,recoverable,recoverable_001
141,0.8841994824162831,recoverable,recoverable_001
142,0.8878218932022927,recoverable,recoverable_001
143,0.8724978808534762,recoverable,recoverable_001
144,0.8703535536669917,recoverable,recoverable_001
145,0.8554581769932431,recoverable,recoverable_001
146,0.8878971036938461,recoverable,recoverable_001
147,0.8607027203179244,recoverable,recoverable_001
148,0.8710623524500507,recoverable,recoverable_001
149,0.8499613238318457,recoverable,recoverable_001
150,0.832213922428081,recoverable,recoverable_001
151,0.830339933092094,recoverable,recoverable_001
152,0.8192573172706094,recoverable,recoverable_001
153,0.8200855813736665,recoverable,recoverable_001
154,0.8066061235823868,recoverable,recoverable_001
155,0.8000498130233376,recoverable,recoverable_001
156,0.7763097325265431,recoverable,recoverable_001
157,0.777531934146299,recoverable,recoverable_001
158,0.80737561709248,recoverable,recoverable_001
159,0.7657827901440512,recoverable,recoverable_001
160,0.7537490005087355,recoverable,recoverable_001
161,0.7688103636619221,recoverable,recoverable_001
162,0.7795798010834657,recoverable,recoverable_001
163,0.7319498307695709,recoverable,recoverable_001
164,0.7473190305736824,recoverable,recoverable_001
165,0.7406661539887859,recoverable,recoverable_001
166,0.7240492739141433,recoverable,recoverable_001
167,0.7624154930715741,recoverable,recoverable_001
168,0.7525560872742774,recoverable,recoverable_001
169,0.7560526116595117,recoverable,recoverable_001
170,0.7462834401763025,recoverable,recoverable_001
171,0.7674373967406428,recoverable,recoverable_001
172,0.7559713536164435,recoverable,recoverable_001
173,0.7656893819721586,recoverable,recoverable_001
174,0.7552307868337396,recoverable,recoverable_001
175,0.7578022884426769,recoverable,recoverable_001
176,0.8003476683610664,recoverable,recoverable_001
177,0.7769734669814031,recoverable,recoverable_001
178,0.793127990311125,recoverable,recoverable_001
179,0.7922409136172226,recoverable,recoverable_001
180,0.7898663038953797,recoverable,recoverable_001
181,0.792264301193798,recoverable,recoverable_001
182,0.8123303602525433,recoverable,recoverable_001
183,0.8008805980743143,recoverable,recoverable_001
184,0.805148951553178,recoverable,recoverable_001
185,0.8092073986768442,recoverable,recoverable_001
186,0.8273870027447372,recoverable,recoverable_001
187,0.8202065267985885,recoverable,recoverable_001
188,0.8153862277514954,recoverable,recoverable_001
189,0.8002380420748578,recoverable,recoverable_001
190,0.7864219575936997,recoverable,recoverable_001
191,0.81930116847893,recoverable,recoverable_001
192,0.8169511541991634,recoverable,recoverable_001
193,0.7972825885440105,recoverable,recoverable_001
194,0.8040651434494859,recoverable,recoverable_001
195,0.8038775215261162,recoverable,recoverable_001
196,0.8005949812120523,recoverable,recoverable_001
197,0.7977537302848459,recoverable,recoverable_001
198,0.7728243522307602,recoverable,recoverable_001
199,0.798115808280891,recoverable,recoverable_001
200,0.7525188131420575,recoverable,recoverable_001
201,0.7801489778754929,recoverable,recoverable_001
202,0.7708978459020337,recoverable,recoverable_001
203,0.7731952744408729,recoverable,recoverable_001
204,0.7852838517624621,recoverable,recoverable_001
205,0.7768397276792722,recoverable,recoverable_001
206,0.7353877462084446,recoverable,recoverable_001
207,0.7257866188134414,recoverable,recoverable_001
208,0.7625097747170829,recoverable,recoverable_001
209,0.7347769788374607,recoverable,recoverable_001
210,0.7501729708309114,recoverable,recoverable_001
211,0.7639157396977891,recoverable,recoverable_001
212,0.7282079580907171,recoverable,recoverable_001
213,0.7233131384064324,recoverable,recoverable_001
214,0.7614603513582002,recoverable,recoverable_001
215,0.7613016347351397,recoverable,recoverable_001
216,0.7604082958467299,recoverable,recoverable_001
217,0.7684568921264954,recoverable,recoverable_001
218,0.7590016148918298,recoverable,recoverable_001
219,0.7534022459380233,recoverable,recoverable_001
0,1.000513159733185,irreversible,irreversible_001
1,1.0246677240587971,irreversible,irreversible_001
2,1.0268265809198203,irreversible,irreversible_001
3,1.0048131870045813,irreversible,irreversible_001
4,1.0117563292712668,irreversible,irreversible_001
5,1.011742692015806,irreversible,irreversible_001
6,1.031226630012199,irreversible,irreversible_001
7,1.0244050995326246,irreversible,irreversible_001
8,1.0385005086318726,irreversible,irreversible_001
9,1.0010825988469159,irreversible,irreversible_001
10,1.053199637829034,irreversible,irreversible_001
11,1.0285591109424006,irreversible,irreversible_001
12,1.0399046136513534,irreversible,irreversible_001
13,1.0267393172930686,irreversible,irreversible_001
14,1.0216044638878656,irreversible,irreversible_001
15,1.0321856752121783,irreversible,irreversible_001
16,1.0350418087022197,irreversible,irreversible_001
17,1.0166108056789651,irreversible,irreversible_001
18,1.013933188570975,irreversible,irreversible_001
19,1.022758485750296,irreversible,irreversible_001
20,0.9954147293591916,irreversible,irreversible_001
21,0.9815819782114705,irreversible,irreversible_001
22,1.0059672542513303,irreversible,irreversible_001
23,0.985733454716598,irreversible,irreversible_001
24,0.9628287043576891,irreversible,irreversible_001
25,0.9754435382111913,irreversible,irreversible_001
26,0.9769224291759973,irreversible,irreversible_001
27,0.9626598056732195,irreversible,irreversible_001
28,0.9552031106369978,irreversible,irreversible_001
29,0.9756461198516735,irreversible,irreversible_001
30,0.9865904039629726,irreversible,irreversible_001
31,0.9682426657549424,irreversible,irreversible_001
32,0.9597998612599472,irreversible,irreversible_001
33,0.9765708335880883,irreversible,irreversible_001
34,0.9820345242270367,irreversible,irreversible_001
35,0.9678918888246205,irreversible,irreversible_001
36,0.982300472646373,irreversible,irreversible_001
37,0.9921094091844692,irreversible,irreversible_001
38,0.9762596324450826,irreversible,irreversible_001
39,0.9705756046123296,irreversible,irreversible_001
40,0.9918703189478709,irreversible,irreversible_001
41,0.9946477769790012,irreversible,irreversible_001
42,1.0120307740866965,irreversible,irreversible_001
43,0.981157780168695,irreversible,irreversible_001
44,0.9955705793457689,irreversible,irreversible_001
45,0.9981066271751904,irreversible,irreversible_001
46,0.9898960726070739,irreversible,irreversible_001
47,1.0230022920294397,irreversible,irreversible_001
48,1.0341286209983247,irreversible,irreversible_001
49,1.0200818776295872,irreversible,irreversible_001
50,1.0566946386662464,irreversible,irreversible_001
51,1.0527355662199813,irreversible,irreversible_001
52,1.0540312134337002,irreversible,irreversible_001
53,1.0545545675670307,irreversible,irreversible_001
54,1.0664559187706262,irreversible,irreversible_001
55,1.0354175490937583,irreversible,irreversible_001
56,1.0675800257222112,irreversible,irreversible_001
57,1.0701089406702673,irreversible,irreversible_001
58,1.0370064607534177,irreversible,irreversible_001
59,1.0709884959751728,irreversible,irreversible_001
60,1.0641502451211924,irreversible,irreversible_001
61,1.081681021258229,irreversible,irreversible_001
62,1.0654243922852873,irreversible,irreversible_001
63,1.0738672156227758,irreversible,irreversible_001
64,1.0815738657293585,irreversible,irreversible_001
65,1.065820213992203,irreversible,irreversible_001
66,1.0908015158021251,irreversible,irreversible_001
67,1.083512015392715,irreversible,irreversible_001
68,1.096218564613645,irreversible,irreversible_001
69,1.085298446568383,irreversible,irreversible_001
70,1.1143238056383795,irreversible,irreversible_001
71,1.1126735355925408,irreversible,irreversible_001
72,1.1071876169683916,irreversible,irreversible_001
73,1.1263219389325474,irreversible,irreversible_001
74,1.1434552932309041,irreversible,irreversible_001
75,1.1598689287929493,irreversible,irreversible_001
76,1.1185439491031826,irreversible,irreversible_001
77,1.1652064688916066,irreversible,irreversible_001
78,1.1693583261373626,irreversible,irreversible_001
79,1.1719375099004294,irreversible,irreversible_001
80,1.1696631418801053,irreversible,irreversible_001
81,1.2153933958771197,irreversible,irreversible_001
82,1.1896242136616222,irreversible,irreversible_001
83,1.2291879647441588,irreversible,irreversible_001
84,1.252331546802041,irreversible,irreversible_001
85,1.2207750468607144,irreversible,irreversible_001
86,1.2519017124518348,irreversible,irreversible_001
87,1.2480274001594598,irreversible,irreversible_001
88,1.281963844250005,irreversible,irreversible_001
89,1.310924757240691,irreversible,irreversible_001
90,1.3276004520521427,irreversible,irreversible_001
91,1.2786165884810003,irreversible,irreversible_001
92,1.3035903501160508,irreversible,irreversible_001
93,1.32847376134842,irreversible,irreversible_001
94,1.3460062824608372,irreversible,irreversible_001
95,1.331643950726163,irreversible,irreversible_001
96,1.315702423161332,irreversible,irreversible_001
97,1.3314422881108792,irreversible,irreversible_001
98,1.3253310676793086,irreversible,irreversible_001
99,1.3196266975090103,irreversible,irreversible_001
100,1.3072988945374169,irreversible,irreversible_001
101,1.3183319764381967,irreversible,irreversible_001
102,1.3099849175122162,irreversible,irreversible_001
103,1.2955329401319096,irreversible,irreversible_001
104,1.2839783999663892,irreversible,irreversible_001
105,1.2573339540772022,irreversible,irreversible_001
106,1.257673242743054,irreversible,irreversible_001
107,1.27061235417297,irreversible,irreversible_001
108,1.2365446864594285,irreversible,irreversible_001
109,1.2096852556735898,irreversible,irreversible_001
110,1.2428214533351256,irreversible,irreversible_001
111,1.2220867112167804,irreversible,irreversible_001
112,1.2370417086135657,irreversible,irreversible_001
113,1.1977574557348487,irreversible,irreversible_001
114,1.1815555949209406,irreversible,irreversible_001
115,1.1588123286303436,irreversible,irreversible_001
116,1.192955293485615,irreversible,irreversible_001
117,1.2048445853261958,irreversible,irreversible_001
118,1.1479247068349785,irreversible,irreversible_001
119,1.1452854477924066,irreversible,irreversible_001
120,1.1595708638028934,irreversible,irreversible_001
121,1.1347421304804213,irreversible,irreversible_001
122,1.1406733893136376,irreversible,irreversible_001
123,1.1379983454546647,irreversible,irreversible_001
124,1.145616307013395,irreversible,irreversible_001
125,1.1596075122668685,irreversible,irreversible_001
126,1.1448864549086462,irreversible,irreversible_001
127,1.160581124267438,irreversible,irreversible_001
128,1.143549692194111,irreversible,irreversible_001
129,1.158549173514654,irreversible,irreversible_001
130,1.1259919163152232,irreversible,irreversible_001
131,1.1413056223247386,irreversible,irreversible_001
132,1.1804412836737184,irreversible,irreversible_001
133,1.1654544188612839,irreversible,irreversible_001
134,1.1890624783910906,irreversible,irreversible_001
135,1.194706378534222,irreversible,irreversible_001
136,1.2126633120875498,irreversible,irreversible_001
137,1.2112201859969192,irreversible,irreversible_001
138,1.2203769499583164,irreversible,irreversible_001
139,1.2093129690346949,irreversible,irreversible_001
140,1.2060951599604077,irreversible,irreversible_001
141,1.2108330884023617,irreversible,irreversible_001
142,1.219330608117125,irreversible,irreversible_001
143,1.2141212002070163,irreversible,irreversible_001
144,1.2268248793107839,irreversible,irreversible_001
145,1.2371577116244572,irreversible,irreversible_001
146,1.2453765036131135,irreversible,irreversible_001
147,1.2391388409763913,irreversible,irreversible_001
148,1.2175803550075823,irreversible,irreversible_001
149,1.2471993904913679,irreversible,irreversible_001
150,1.253197943390481,irreversible,irreversible_001
151,1.267365565106464,irreversible,irreversible_001
152,1.2608616416880452,irreversible,irreversible_001
153,1.2435240734942659,irreversible,irreversible_001
154,1.243271382451117,irreversible,irreversible_001
155,1.2852849200008898,irreversible,irreversible_001
156,1.2676020707844753,irreversible,irreversible_001
157,1.2850592785678763,irreversible,irreversible_001
158,1.2911501716511318,irreversible,irreversible_001
159,1.248915996721983,irreversible,irreversible_001
160,1.2693689184200085,irreversible,irreversible_001
161,1.273347050945749,irreversible,irreversible_001
162,1.2782845110348582,irreversible,irreversible_001
163,1.28200465041985,irreversible,irreversible_001
164,1.2814905654475366,irreversible,irreversible_001
165,1.286269280476421,irreversible,irreversible_001
166,1.2669354328347662,irreversible,irreversible_001
167,1.2934172839374924,irreversible,irreversible_001
168,1.2916988146025368,irreversible,irreversible_001
169,1.3123765689475955,irreversible,irreversible_001
170,1.311558315495564,irreversible,irreversible_001
171,1.3363961365481547,irreversible,irreversible_001
172,1.3483490745557862,irreversible,irreversible_001
173,1.3499649885416825,irreversible,irreversible_001
174,1.359598533881355,irreversible,irreversible_001
175,1.3659390574306733,irreversible,irreversible_001
176,1.367598523443081,irreversible,irreversible_001
177,1.381613141681379,irreversible,irreversible_001
178,1.386318577041944,irreversible,irreversible_001
179,1.4090679504403019,irreversible,irreversible_001
180,1.4126954707089339,irreversible,irreversible_001
181,1.4301033046174907,irreversible,irreversible_001
182,1.4099495658402073,irreversible,irreversible_001
183,1.4512254251733339,irreversible,irreversible_001
184,1.4339802609692673,irreversible,irreversible_001
185,1.4413599170579365,irreversible,irreversible_001
186,1.455777789537171,irreversible,irreversible_001
187,1.4560481358635027,irreversible,irreversible_001
188,1.4740141336132073,irreversible,irreversible_001
189,1.4655791652655394,irreversible,irreversible_001
190,1.4621093430176386,irreversible,irreversible_001
191,1.4688711906939378,irreversible,irreversible_001
192,1.5041342069514707,irreversible,irreversible_001
193,1.4875570967778204,irreversible,irreversible_001
194,1.471423936950421,irreversible,irreversible_001
195,1.490781540736997,irreversible,irreversible_001
196,1.4687880211138422,irreversible,irreversible_001
197,1.5202764786848078,irreversible,irreversible_001
198,1.4717914461379786,irreversible,irreversible_001
199,1.5030725052379708,irreversible,irreversible_001
200,1.5053720947976237,irreversible,irreversible_001
201,1.4769730160026082,irreversible,irreversible_001
202,1.5049930129172941,irreversible,irreversible_001
203,1.5175485686450914,irreversible,irreversible_001
204,1.5121123566603576,irreversible,irreversible_001
205,1.511988289845267,irreversible,irreversible_001
206,1.5258018501487098,irreversible,irreversible_001
207,1.5180302608291225,irreversible,irreversible_001
208,1.525302818207786,irreversible,irreversible_001
209,1.523601491917336,irreversible,irreversible_001
210,1.5408361375782427,irreversible,irreversible_001
211,1.5236990653533249,irreversible,irreversible_001
212,1.5567413672549972,irreversible,irreversible_001
213,1.5448833222235594,irreversible,irreversible_001
214,1.544211065463689,irreversible,irreversible_001
215,1.574614580731987,irreversible,irreversible_001
216,1.603489675193393,irreversible,irreversible_001
217,1.6018040438459196,irreversible,irreversible_001
218,1.5891746015897492,irreversible,irreversible_001
219,1.6170755571280746,irreversible,irreversible_001
